"","ML3","ML1","ML2","ML8","ML6","ML5","ML4","ML7"
"魚（乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",-0.0423218585825052,0.00153427833748965,0.0322028918230409,0.0296420854270547,0.079834086892463,-0.0301143106136443,0.928985129864177,-0.0500595204161876
"哺乳類・鳥類（牛・豚・馬・ろ馬・ら馬・ヒニー・羊・やぎ・家きん以外）（生きているもの）",0.0192746460894833,-0.111691709368976,-0.0268292090120884,0.579482964507398,-0.00679050025618077,0.562894330448056,0.00514736968543977,-0.187531623931714
"軟体動物（牡蠣以外で、いか、スキャロップなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.0700895669479622,-0.00815859589924373,0.166909925048708,0.0371585653179875,0.170060126879418,0.567747356759145,0.0365171694420603,0.0930564017491539
"水棲無脊椎動物（なまこ、くらげなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.814078563209562,-0.0699152673749975,0.0711742897658266,0.107585174257677,0.00311680623536337,0.14092953233769,-0.0218769883366857,-0.144730116082594
"骨付きでない牛肉（生鮮、冷蔵、冷凍）（くず肉以外）",0.451098901633454,0.0308479613828309,0.371878100864977,-0.0379735416922636,-0.0591140305782006,0.0112723855731367,0.0107857826692715,-0.0617663226019082
"豚肉（生鮮、冷蔵、冷凍）（くず肉以外）",0.982266038817806,-0.0162716629602739,-0.0380755116877334,-0.0193078931789102,0.00142227031586273,-0.013159863648346,-0.0723362913539375,0.00555588682080943
"牛・豚・家きん以外の肉（生鮮、冷蔵、冷凍）（くず肉以外）",-0.0193711683536737,-0.0351880586332831,-0.0445578437105548,-0.0309626848832567,0.731218344040783,-0.0212593435297975,-0.0442831891360564,-0.125387739804925
"家きんの肉・くず肉（生鮮、冷蔵、冷凍）",0.410475181685333,-0.0678883347005047,-0.076912191646956,-0.0787394578373088,-0.0622653770037409,0.138644833732389,0.425584477472259,0.132289803973744
"肉・くず肉（塩蔵、塩水漬け、乾燥、くん製、粉、ミール）",0.743256060637131,-0.107485080069421,0.220507118998348,-0.00984000704695079,-0.0552900473170007,0.00379884277375232,0.0346052441299479,0.391040072333112
"甲殻類（かに、えびなど）（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、蒸気又は水煮による調理、粉、ミール、ペレット）",0.00456162908098779,-0.0102092616433725,-0.0765589976838665,0.078112494295126,0.483178844973136,0.20353863470584,-0.050504019253446,0.118839471993535
"魚（さけ、まぐろ、かつお、さば以外）（調製、保存処理をしたもの）（いわしの缶詰、かまぼこなど）、キャビア、キャビア代用物",0.0279357417174368,0.0185992784691073,-0.0567066506073413,-0.0178048938410209,0.717221369901959,0.0210655026071109,0.0350507464676919,0.0470279969021607
"甲殻類、軟体動物、水棲無脊椎動物（かに、スキャロップ、なまこなど）（調製、保存処理をしたもの）",0.806937616320197,-0.00952106287069943,0.0505241501306139,-0.0507252001981015,0.13492404373126,0.00973789596465116,0.229746717199491,-0.0808833084391232
"まぐろ、はがつお、かつお（調製、保存処理をしたもの）",-0.0144396636609149,-0.0338004461498805,-0.0946162155494049,-0.0320768095262854,0.756816182685403,-0.0372086549623377,-0.0552538092126654,-0.081787615540284
"魚（観賞魚、うなぎなど）（生きているもの）",-0.0399140586695703,0.0592917297058376,-0.197150698683839,0.89817849014902,0.0305552725321035,-0.148412800172163,0.0204754212700375,-0.0313592375036942
"魚（まぐろ以外）（生鮮、冷蔵）（魚のフィレ、魚肉を除く）",0.0902725011583752,-0.0915794187378818,0.088861890419255,0.803175464614787,-0.0594921986148001,-0.156290505626008,-0.00699108453482064,-0.0523852599235258
"魚のフィレ、魚肉（生鮮、冷蔵）",0.767939432585274,-0.0096370786849114,0.103713013144458,0.0123361930797867,0.0293639738174648,-0.00478891837578081,-0.0113841240864464,-0.0185221101914219
"鮭、ます（冷凍）（魚のフィレ、魚肉を除く）",-0.0827582928139531,-0.0212494853764022,-0.0522819268871877,-0.0580169207944117,-0.0437370923557952,0.6540526165748,-0.0141550591011834,0.0538137474961468
"魚（まぐろ、鮭、ます、かつお、さば以外）（冷凍）（魚のフィレ、魚肉を除く）",-0.0614586347334036,-0.0276046192046864,-0.0497919202734369,0.12527757943173,0.313213354624528,0.44642985466232,-0.00903189781802862,0.0213954541289128
"魚のフィレ（冷凍）",-0.0266012567991943,-0.0640018779477118,0.5901006360311,-0.0373922929783402,0.590496984095667,-0.0439000358294837,-0.00143919391260573,-0.200275388941992
"牡蠣（生きているもの、生鮮、冷蔵、冷凍、乾燥、塩蔵、塩水漬け、くん製、粉、ミール、ペレット）",0.517991888903875,0.100784453012061,-0.116217026126591,0.0279517236550809,0.171332002098763,0.0945010126705096,0.135445363484717,0.103441223386164
"乳製品（ミルク、クリーム、チーズなど）",0.538491415502595,0.218536977686172,-0.0513198989936545,0.028468133154101,0.00130132802769435,0.114900720890441,-0.0329049224305555,0.0698744734800253
"調製食料品（その他の食品）",-0.0372145992963788,0.0845704926494846,-0.0816804256021437,0.194442771781988,0.310900680202474,-0.00867927121199537,0.0587648454147483,0.441409498052763
"インスタントラーメン、即席めん類",0.320347017545524,0.0683873413059134,0.224730704691712,0.00584132393783932,0.351392588888705,0.0426607336021252,0.308057877275104,0.248328490461587
"酒類（アルコール80％未満）（ワイン・ビール以外）（清酒、発酵酒、蒸留酒、リキュールなど）",0.215904995235601,0.115327221546765,0.686677321184171,0.126993140974218,0.0911272044482364,0.212416302207897,0.00279001273910706,-0.00391734813584031
"果実・野菜のジュース（発酵しておらずアルコールを加えてないもの）",0.294846273885693,0.198528265716602,0.259978437467727,0.430874575751254,-0.0298479416400658,0.117419067280505,0.0220405950474582,-0.0991299232779659
"コーヒー由来の調製品、アイスクリーム、その他の均質混合調製食料品（みりんなど）",0.174917330442437,0.40113545182871,0.0722500712608945,0.218142179727579,0.0362934090674247,0.256640873318562,0.0135843324039638,0.051843582257109
"殻付きの鳥卵（生鮮、保存処理、加熱調理）",1.00409833190372,-0.0654674888418143,-0.0526320369757953,-0.00911303552521427,0.00629923287617858,-0.0824198984726299,-0.0906325126709105,-0.014513094976347
"殻付きでない鳥卵・卵黄（生鮮、乾燥、蒸気又は水煮による調理、成型、冷凍）",0.237039696188011,-0.108855313446289,0.182896688396891,0.580138307017814,-0.0318553479513303,-0.144801483604044,-0.0041334312927041,-0.05941384474394
"羽毛、綿毛（加工してないもの）",-0.094502907196862,0.0360303428342186,-0.0287401426884347,-0.0701864475644662,-0.0524000385760392,0.874043997073022,-0.00585317891895955,-0.0376972406345836
"骨、かめの甲、角、ひづめ、つめ、くちばし",-0.0331107092668924,-0.0227744061707129,-0.0274238987613962,0.0367597321474843,-0.0791989468239556,-0.0318420914637496,0.721658214030519,-0.0360241192734676
"その他の動物性生産品（食用でないもの）（貝殻など）",-0.0252809984641952,-0.0412155215876532,-0.106783809794394,0.164460345281764,0.00296353568025819,0.0393427384409322,0.562498626245048,0.220464249462936
"さんご",0.0382495399454369,0.780340882540678,-0.033933029788061,-0.00675342602449792,0.0233940347315023,-0.00813534771061781,-0.00960327750665713,-0.052620284118458
"地下茎（ゆり根など）、てん菜、さとうきび、その他の植物性生産品",0.308664519182168,0.0180716531444379,-0.000560832996047827,-0.0339891753122486,0.344084391318296,0.313381125417127,-0.0183315626663928,0.0506865258867183
"生きている植物（花束用・装飾用・食用でないもの）、挿穂、接ぎ穂、きのこ菌糸",0.0728952321093335,0.0628145020591045,-0.0207628149975283,-0.0827178972162008,0.0269772647809734,0.71816174250926,-0.00267704493806655,-0.0100304535477926
"切花及び花芽（花束用、装飾用）",0.485876993556667,-0.0245170499475409,0.569953284833417,0.111019246576774,-0.0616903571360171,0.231267247487002,0.0691111315922265,-0.291429788416683
"植物の葉、枝、草、こけ、地衣（花束用、装飾用）",-0.0490922767878191,0.0594909911635033,0.062117019125754,0.0693591191657473,0.609333666961277,-0.00359359439526347,0.0126364860120185,-0.0583352945402193
"野菜、豆（ねぎ属以外）（生鮮、冷蔵）",0.35525225330144,0.298787282176441,-0.0899379007420534,0.0631661846103288,0.0400643199905994,-0.0236560149903393,0.296753824050346,0.230962306380487
"ねぎ属の野菜（たまねぎ、にんにくなど）（生鮮、冷蔵）",-0.0986249609988115,0.503954941928166,-0.0204582420897971,0.231268793756686,-0.00281112154655552,-0.000741994062309473,0.174168590711452,-0.147928296529683
"きのこ、トリュフ（生鮮、冷蔵）",0.0854388215440224,0.572302408570347,0.0352809942476204,-0.0372793956763506,-0.0836599880214622,0.0143884312419586,0.0426960888362439,0.38108484496994
"野菜（乾燥）",0.243232784976383,0.41512003457898,0.0521026654547307,0.0983825962735631,0.383194807072926,0.02546349743198,-0.00392058135610654,0.217709541365507
"野菜（冷凍）",0.276554297884112,0.102912628695158,0.173393116989187,0.0193268420885859,0.0754473905544492,0.207915776989695,0.0113355368136587,0.33150348373743
"きのこ、トリュフ（しいたけなど）（乾燥）",-0.0497724647364182,-0.0325093481104377,-0.0248981834354694,-0.0356169690919281,0.0568847127951223,-0.0307025608826136,0.970402900711816,-0.0847546106395414
"芋、果実の粉",0.00480383830650718,0.808359726684916,0.335921690983849,-0.0234697172295458,-0.0306293488387765,-0.0835888465273088,-0.0106120796642273,0.0395038645970345
"ナッツ（栗など）（生鮮、乾燥）",-0.0840120912000158,-0.0523993779497787,-0.0149707966008744,-0.0865407289345483,-0.0543007448510804,0.870645034075041,-0.0072965858483213,-0.032994079086025
"かんきつ類（みかん、マンダリン以外）（オレンジ、グレープフルーツ、レモンなど）（生鮮、乾燥）",0.0226725296411465,0.916686870402884,-0.00311705373197236,-0.0296621731325411,-0.00769564928941613,-0.0236977646146357,-0.00384433909006151,-0.0617968488533637
"ぶどう（生鮮、乾燥）",0.705446991405863,0.490232052148513,-0.0258678198157689,-0.0279524182231489,-0.00105229674751481,-0.0559158302498431,-0.0513045404454748,-0.0874018365137067
"その他の果実（いちご、柿、メロンなど）（生鮮）",0.839368985304396,0.0214689034243834,-0.0598768979783302,-0.00146716120822115,-0.0258449108155325,-0.0653626073246506,0.296325044297222,-0.03082466576693
"りんご（生鮮）",-0.0247170463968132,1.01676338080945,-0.050437815876453,-0.0308443683840788,-0.0115719154804398,-0.0150192832414376,0.00152134524048792,-0.0186370627458573
"梨（生鮮）",0.104226077905313,0.0896376207862859,-0.103857480059205,-0.0607952771632089,0.101537946990747,0.0317568527680826,0.653483777270027,0.290351329145882
"桃など（あんず、さくらんぼ、プラムを含む）（生鮮）",0.832799441853519,0.357617529629022,-0.0670339519116059,-0.0238474267189672,-0.00205031195340453,-0.0681856031317135,-0.0652264716046459,-0.00500956844892209
"果実、ナッツ（乾燥）",0.0108704616095908,0.950764947133864,-0.0546423470982522,0.000962600013119755,0.0705417987069304,-0.0224649961762964,-0.00605442105017285,0.028341044981218
"コーヒー（調製品を除く）",-0.064143267761417,0.579744581156491,0.0403743995388843,0.36115714885183,-0.0211161925952574,0.182540480193925,0.0787462408987953,-0.276458933551027
"緑茶",0.00154517658362409,0.0826265490314662,0.954558693245098,-0.0166812393134445,-0.0176858011941366,-0.0681615766593145,0.0112398638674848,-0.0986272012987049
"紅茶",0.445480501574926,0.261741854558105,0.255814989140603,0.141516007394858,0.0528691880608443,0.0946403302533029,0.0271810343645708,0.102874673738937
"香辛料（サフラン、ウコン、タイム、月けい樹の葉、カレー）",-0.0473299036465229,0.249801658372284,0.0705379126932312,0.231117717703913,0.058563147635517,0.307382484896592,0.0282267893576606,0.416364730959338
"小麦粉",0.317068895661675,0.00452096443432472,-0.121274728534278,-0.0433134396538954,-0.0566643800521635,0.161823670756409,0.378342647620175,0.296908003303103
"穀粉（小麦粉以外）",-0.0162994139136284,0.0681558981028022,0.231380303105376,0.0164302021709875,-0.0566079737563771,0.0549404806626746,0.592943640062258,0.020727265235372
"加工した穀物やジャガイモ（ひき割り、フレーク、ペレット）（粉、コーンフレーク以外）",-0.106404932941571,0.379803589433296,0.122809911975929,0.0521073954119913,0.313333519984339,0.147472987458624,0.00593377660098902,0.0894893490272572
"でん粉",-0.072550742738301,0.0676930584768169,0.0455455913257537,0.382489801395362,0.00448096062580249,0.250247380525037,0.0116591070116678,0.16575257262294
"採油用の種及び果実（ごま、菜種など）",0.79110433800587,-0.0603705921818188,-0.00294993249377105,0.103931752388434,-0.0174522479051113,-0.0885817026840683,-0.0884291071423377,0.0260493630487982
"播種用の種・果実・胞子（野菜・園芸用草花以外）",-0.0944801283232687,-0.0559182414358551,-0.0444153560347785,0.249581371424289,0.158774540448013,0.509873685911393,-0.0121931362543396,0.205422214710913
"野菜の種",0.285915994160017,-0.0982683668998414,-0.0737256275391723,0.510186277157792,0.0466081012490274,0.469274263973403,-0.0126427285618439,0.114299918902523
"園芸用草花の種",-0.0834477193150646,-0.0778321935854571,0.300298508097219,0.0445685129310079,0.0931659429420136,0.223526224188668,-0.0294456669798311,0.434316422650616
"飼料用植物（わらなど）、加工用植物（紅参などの人参類）",-0.0514221901781874,-0.0181191275988128,0.000149147144877249,-0.0137653436110026,-0.114508591749404,-0.0201964966620377,0.925177565241347,-0.0781392815656272
"植物性の液汁及びエキス",-0.11382035184684,0.149477009420584,0.219110485193885,0.582703416849295,-0.0622507696134525,0.127479438586184,-0.00411785336203486,0.313970923430498
"ごま油",-0.0251637239457609,-0.0783174958303395,0.912931584373997,-0.0407028163978628,0.0698477124708622,-0.0773661934674886,0.0311702084182424,0.199573971927034
"調製食用脂（マーガリン、ショートニングなど）",0.00918963393971449,0.029256787160959,-0.00925909061865408,0.564515226551109,0.0282901920488323,0.0184979983578819,0.119385421447867,-0.0813342999817838
"ウールグリース由来の脂肪性物質（ラノリンなど）",-0.0852360894133836,-0.0747977246356423,0.464046339802649,0.084884065352857,0.182552800758065,0.0543664933935308,-0.0206810290745745,0.178406614181722
"植物性ろう、みつろう、昆虫ろう、鯨ろう",-0.107969176278448,-0.012724204353085,0.165445478211036,0.659563421017796,0.12107754155529,0.123881575747591,-0.0103007951123517,0.0744387342947685
"肉、魚、甲殻類、軟体動物、水棲無脊椎動物のエキス及びジュース",0.00652082895146734,0.0104371691232614,-0.0322364278108458,0.152807533241558,0.0393934646802684,0.0526182052809579,0.00234885488288197,0.547072050818693
"糖類（甘しゃ糖・てん菜糖・ショ糖以外）（固体、液体、糖みつ）",-0.0798744575287682,0.0734708240100185,-0.0606788466529167,0.692656064959666,-0.037493230710786,0.0777016263704224,0.0354940104217924,0.162837276364216
"砂糖菓子（チューインガム以外）",0.499137798261806,0.204422058265035,0.155715078060253,0.213425644754862,0.0790641230962548,0.155735897249879,0.121558986203286,0.19933391154367
"チョコレート類",0.505685238558327,0.345240278008666,0.119093300174577,0.156026841652885,-0.0168819752178384,0.202293526879753,0.0334075010379323,0.0415547759986704
"麺類（スパゲッティ、パスタ、うどんなど）",0.0589534150509833,-0.0699846703104674,-0.0641869095043005,0.00735718975703049,0.74696081382353,0.0190868632330996,0.367803763877557,-0.0120918869239247
"調製食料品（穀物）（コーンフレークなど）",0.522347274147285,0.0190423321567813,0.0891598174360231,-0.00105929452493798,-0.0386831116967108,0.41101177138327,-0.0327069815138246,-0.0863288668566721
"果実、ナッツ（かんきつ類以外）（調整品・缶詰）",0.105649174055973,0.155639050972103,0.554556793876775,0.104634743660388,0.0653655136756864,0.13419152918301,-0.019594474563178,0.288553057415432
"かんきつ類（みかんなど）（調整品・缶詰）",-0.0238887754149898,-0.0363630392176209,-0.0908568083512503,-0.0394337463909619,0.866098113029149,-0.0371898505084031,-0.0654224866801408,-0.0783037132424503
"ベーカリー製品、米菓（パン、ビスケット、せんべいなど）",0.154993992319582,0.224444760408493,0.165931981479992,0.0772579788152996,0.441114244357774,0.0955090728343778,0.17389063946843,0.286776278797598
"野菜、果実、ナッツ（酢で調製・保存処理をしたもの）",0.0019122766290036,-0.045694108496219,0.049536107978848,0.319097148483031,0.341030450280068,-0.0529022291537009,-0.009962806129682,0.35684200803819
"野菜、豆、きのこ（調製・保存処理をしたもの）（酢以外）（漬け物など）",0.0363947345185612,0.211521237996406,0.446033841129844,0.031961669417094,0.558462618681527,-0.045551648855416,-0.0185192600486694,0.213108737207501
"じゃがいも（調製・保存処理をしたもの）（酢以外）",0.466117152223377,0.107483429608369,-0.0242919073733966,-0.0405440672752387,0.076415782529467,0.352595996353886,0.108741345009357,0.132283502649699
"野菜（トマト・アスパラガス・スイートコーン以外）（酢で調製・保存処理をしたもの以外）（漬け物など）",-0.0138858794082553,-0.0201253272514565,0.419878206318701,0.0500097086868782,0.00045480039166558,-0.0381783881396226,0.238948115474048,0.613120983665919
"ジャム、フルーツゼリー、マーマレード、果実やナッツのペースト",0.35164529818789,0.573553933264715,-0.0295835536705847,0.036467475244997,-0.0162419271791645,0.0636929356385608,-0.0285689255159709,0.200438024688145
"酵母",-0.089736088378937,-0.0583499936935681,0.515945122961425,0.34599537379351,-0.148942616469083,-0.0292126671929561,-0.0010981232469862,0.379030619882792
"醤油",0.0492809485596095,-0.0968939332087999,0.501513392722065,0.174064390631501,0.320715371149891,0.190792278376661,-0.00345860024010883,0.213787413540936
"ソース（マスタード以外）（味噌など）",-0.0799870441155349,0.0496355851817285,0.384404575556024,0.122105219747004,0.600724081171217,0.0120944464820853,0.110412194226142,0.14007436852245
"ソース（マスタード）",-0.0960287826325555,-0.0382333209579236,0.367918383013857,0.284308772142366,0.0360980701305977,-0.0412673603346642,-0.0132816626462023,0.51324520699382
"スープ、ブロス、スープ用・ブロス用の調製品",0.181739823819957,0.276446684477012,0.473835436432648,0.364836673996717,0.0898718134583822,-0.0032232885317378,-0.00274043699716721,0.0741706604951417
"水（鉱水、炭酸水を含む）、氷、雪",-0.0507664193261239,0.628842182923619,0.12080972862001,0.0852114668354587,-0.0410631202168154,0.42707250081896,0.0178508878695656,-0.147409954080606
"ビール",-0.0574274869820891,0.125569524484241,0.0706021603472652,0.478634695171473,0.23125191046028,-0.0296055891374302,0.0120312104936154,0.0692892093210337
"ウイスキー",-0.0684748925956955,0.250209573934713,0.541344150063692,0.0794568712814135,-0.0313831999072392,0.109069047659611,0.00601668136384834,-0.165080557413341
"食酢、食酢代用物",0.0106082180381053,0.0459595110800113,0.657022165916827,0.0681564820467816,0.109759355959476,0.216131567528248,-0.0136649974639257,0.281188221789708
"ふすま、ぬかその他のかす（小麦など）",-0.00854400693395962,-0.0735994681852696,0.00906910536938388,0.617763653154434,-0.0128918795727905,0.0347148213549214,-0.00202509606758763,-0.228568380155293
"飼料用の調製品（ペットフードなど）",0.0672091748445869,0.118447928755169,-0.0321170754869099,0.699242778157803,0.0805423555053585,0.102580742698853,0.02586923726292,0.166400485459246
"たばこ（紙巻、葉巻）",0.135155565417632,0.564917969792949,-0.182122462828606,0.155117122043138,-0.0193159155729563,-0.018565992313499,0.04430320815404,0.285787748906841
